F_Governorate,F_District,F_Subdistrict,F_Community,Comment,T_Governorate,T_District,T_Subdistrict,T_Community,TypeofShelter,ShelterSpecific,Nov_Change,F_Government PCODE,F_Dictrict PCODE,F_SubDistrict PCODE,F_Community PCODE,T_Government PCODE,T_District PCODE,T_SubDictrict PCODE,T_Community PCODE
Hama/ ????,Hama/ ???? ????,Suran - Hama,Suran/ ?????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Deir Sunbul/ ??? ????,Living with host families/ ?????? ?? ?????? ?????,,12,SY05,SY0501,SY050101,C3026,SY05,SY0502,SY050204,C3190
Hama/ ????,Muhradah/ ?????,Muhradah,Halfaya/ ??????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Jamasa Odayat - Alshareeah/ ????? ?????_???????,Living with host families/ ?????? ?? ?????? ?????,,600,SY05,SY0505,SY050500,C3453,SY05,SY0502,SY050204,C3193
Hama/ ????,Hama/ ???? ????,Suran - Hama,Suran/ ?????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Madiq Castle/ ???? ??????,Living with host families/ ?????? ?? ?????? ?????,,84,SY05,SY0501,SY050101,C3026,SY05,SY0502,SY050204,C3207
Hama/ ????,Hama/ ???? ????,Suran - Hama,Tiba Elemam/ ???? ??????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Kafr Nobol/ ??? ???,Living with host families/ ?????? ?? ?????? ?????,,144,SY05,SY0501,SY050101,C3028,SY07,SY0702,SY070203,C4068
Hama/ ????,Muhradah/ ?????,Muhradah,Halfaya/ ??????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Kafr Nobol/ ??? ???,Living with host families/ ?????? ?? ?????? ?????,,750,SY05,SY0505,SY050500,C3453,SY07,SY0702,SY070203,C4068
Hama/ ????,Hama/ ???? ????,Suran - Hama,Tiba Elemam/ ???? ??????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Maar Tahroma/ ????????,Living with host families/ ?????? ?? ?????? ?????,,600,SY05,SY0501,SY050101,C3028,SY07,SY0702,SY070203,C4071
Hama/ ????,Muhradah/ ?????,Muhradah,Halfaya/ ??????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Khan Shaykun,Abdin/ ??????,Living with host families/ ?????? ?? ?????? ?????,,276,SY05,SY0505,SY050500,C3453,SY07,SY0702,SY070201,C3990
Hama/ ????,Hama/ ???? ????,Suran - Hama,Tiba Elemam/ ???? ??????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Khan Shaykun,Hbit/ ??????,Living with host families/ ?????? ?? ?????? ?????,,400,SY05,SY0501,SY050101,C3028,SY07,SY0702,SY070201,C3989
Hama/ ????,Muhradah/ ?????,Muhradah,Halfaya/ ??????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Khan Shaykun,Hbit/ ??????,Living with host families/ ?????? ?? ?????? ?????,,600,SY05,SY0505,SY050500,C3453,SY07,SY0702,SY070201,C3989
Hama/ ????,Hama/ ???? ????,Suran - Hama,Murak/ ????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Maarrat An Numan,Dana/ ??????,Living with host families/ ?????? ?? ?????? ?????,,690,SY05,SY0501,SY050101,C3029,SY07,SY0702,SY070200,C3965
Hama/ ????,Hama/ ???? ????,Suran - Hama,Murak/ ????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Maarrat An Numan,Hantutin/ ???????,Living with host families/ ?????? ?? ?????? ?????,,84,SY05,SY0501,SY050101,C3029,SY07,SY0702,SY070200,C3957
Hama/ ????,Hama/ ???? ????,Suran - Hama,Suran/ ?????,,Idleb/ ????,Ariha/ ?????,Ehsem,Joseph/ ????,Living with host families/ ?????? ?? ?????? ?????,,90,SY05,SY0501,SY050101,C3026,SY07,SY0705,SY070501,C4303
Hama/ ????,Muhradah/ ?????,Kafr Zeita,Kafr Zeita/ ??? ????,,Idleb/ ????,Harim/ ????,Dana,Atma/ ????,Camps  / ??????,Atmeh camp,24,SY05,SY0505,SY050501,C3463,SY07,SY0703,SY070301,C4130
Homs/ ???,Homs/ ???? ???,Homs,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,6,SY04,SY0401,SY040100,,SY02,SY0204,SY020400,C1564
Idleb/ ????,Harim/ ????,Harim,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit Centre,11,SY07,SY0703,SY070300,,SY02,SY0204,SY020400,C1564
Idleb/ ????,Idleb/ ???? ????,Idleb,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit Centre,8,SY07,SY0700,SY070000,,SY02,SY0204,SY020400,C1564
Idleb/ ????,Idleb/ ???? ????,Idleb,Idleb/ ????,,Idleb/ ????,Idleb/ ???? ????,Maaret Tamsrin,Kafraya Maar Tamsarin/ ????? ?????????,Living with host families/ ?????? ?? ?????? ?????,,720,SY07,SY0700,SY070000,C3871,SY07,SY0700,SY070005,C3952
Idleb/ ????,Jisr-Ash-Shugur/ ??? ??????,Jisr-Ash-Shugur,,,Idleb/ ????,Jisr-Ash-Shugur/ ??? ??????,Jisr-Ash-Shugur,Jisr-Ash-Shugur/ ??? ??????,,,225,SY07,SY0704,SY070400,,SY07,SY0704,SY070400,C4199
Idleb/ ????,Jisr-Ash-Shugur/ ??? ??????,Jisr-Ash-Shugur,,Mishmishan,Idleb/ ????,Jisr-Ash-Shugur/ ??? ??????,Jisr-Ash-Shugur,Jisr-Ash-Shugur/ ??? ??????,,,250,SY07,SY0704,SY070400,,SY07,SY0704,SY070400,C4199
Deir-ez-Zor/ ??? ?????,Deir-ez-Zor/ ???? ??? ?????,Deir-ez-Zor,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,15,SY09,SY0901,SY090100,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Al Bab/ ?????,Al Bab,Qabasin/ ??????,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit Centre,27,SY02,SY0202,SY020200,C1209,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Al Bab/ ?????,Al Bab,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,42,SY02,SY0202,SY020200,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Abin Samaan/ ???? ?????,,Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Abin Samaan/ ???? ?????,Individual tents/ ??? ?????,,3500,SY02,SY0200,SY020001,C1026,SY02,SY0200,SY020001,C1026
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Big Orm/ ???? ??????,,Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Kafr Karmin/ ??? ?????,,,375,SY02,SY0200,SY020001,C1029,SY02,SY0200,SY020001,C1035
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Big Orm/ ???? ??????,,Idleb/ ????,Harim/ ????,Dana,Dana/ ??????,,,500,SY02,SY0200,SY020001,C1029,SY07,SY0703,SY070301,C4126
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Big Orm/ ???? ??????,,Idleb/ ????,Harim/ ????,Harim,Harim/ ????,,,375,SY02,SY0200,SY020001,C1029,SY07,SY0703,SY070300,C4115
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Kafr Naha/ ??? ????,,Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Kafr Karmin/ ??? ?????,,,375,SY02,SY0200,SY020001,C1034,SY02,SY0200,SY020001,C1035
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Kafr Naha/ ??? ????,,Idleb/ ????,Harim/ ????,Dana,Dana/ ??????,,,500,SY02,SY0200,SY020001,C1034,SY07,SY0703,SY070301,C4126
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Kafr Naha/ ??? ????,,Idleb/ ????,Harim/ ????,Dana,Selwa/ ????,,,350,SY02,SY0200,SY020001,C1034,SY07,SY0703,SY070301,C4123
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Atareb,Kafr Naha/ ??? ????,,Idleb/ ????,Harim/ ????,Dana,Termanin/ ???????,Rented houses/???? ???????  ,,328,SY02,SY0200,SY020001,C1034,SY07,SY0703,SY070301,C4125
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Daret Azza,Daret Azza/ ???? ???,,Idleb/ ????,Harim/ ????,Dana,Selwa/ ????,,,375,SY02,SY0200,SY020004,C1139,SY07,SY0703,SY070301,C4123
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Haritan,Babis/ ?????,,Idleb/ ????,Idleb/ ???? ????,Maaret Tamsrin,Kelly/ ????,Rented houses/???? ???????  ,,97,SY02,SY0200,SY020003,C6331,SY07,SY0700,SY070005,C3949
